State/UT,2001,2011
A&N islands,81.3,86.27
Andhra Pradesh,60.47,67.66
Arunachal Pradesh,54.34,66.95
Assam,63.25,73.45
Bihar,47,61.82
Chandigarh,81.94,86.43
Chhattisgarh,64.66,71.04
Dadra and Nagar Haveli,57.63,77.65
Daman and Diu,78.18,87.07
Delhi,81.67,86.34
Goa,82.01,87.4
Gujarat,69.14,79.31
Haryana,67.91,76.64
Himachal Pradesh,76.48,83.78
Jammu and Kashmir,55.52,68.74
Jharkhand,53.56,67.63
Karnataka,66.06,75.6
Kerala,90.86,93.91
Lakshadweep,86.66,92.28
Madhya Pradesh,63.74,70.63
Maharashtra,76.84,82.34
Manipur,70.5,79.85
Meghalya,62.56,75.48
Mizoram,88.8,91.58
Nagaland,66.59,80.11
Odisha,63.08,73.45
Puducherry,81.24,86.55
Punjab,69.65,76.68
Rajasthan,60.41,67.06
Sikkim,68.81,82.2
Tamil Nadu,73.45,80.33
Tripura,73.19,87.75
Uttar Pradesh,56.27,69.72
Uttarakhand,71.62,79.63
West Bengal,68.64,77.08
