State/Union Territory,2001,2011
Andaman and Nicobar Islands,356,381
Andhra Pradesh,76210,84581
Arunachal Pradesh,1098,1384
Assam,26656,31206
Bihar,82999,104099
Chandigarh,901,1055
Chhattisgarh,20834,25545
Dadra and Nagar Haveli,220,344
Daman and Diu,158,243
Delhi,13851,16788
Goa,1348,1459
Gujarat,50671,60440
Haryana,21145,25351
Himachal Pradesh,6078,6865
Jammu and Kashmir,10144,12541
Jharkhand,26946,32988
Karnataka,52851,61095
Kerala,31841,33406
Lakshadweep,61,64
Madhya Pradesh,60348,72627
Maharashtra,96879,112374
Manipur,2294,2856
Meghalaya,2319,2967
Mizoram,889,1097
Nagaland,1990,1979
Odisha,36805,41974
Puducherry,974,1248
Punjab,24359,27743
Rajasthan,56507,68548
Sikkim,541,611
Tamil Nadu,62406,72147
Tripura,3199,3674
Uttar Pradesh,166198,199812
Uttarakhand,8489,10086
West Bengal,80176,91276
