,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,GDP
2163,ANDHRA PRADESH,ADILABAD,2004,113,83,11,50,0,50,48,42,6,4,0,9,177,256,46,210,88,34,152,5,30,1266,14,135,71,296,0,271,1898,5011,6527.41
2892,ANDHRA PRADESH,ADILABAD,2005,108,48,13,53,0,53,65,46,19,9,0,20,191,329,53,276,68,13,173,4,30,1273,21,144,77,280,0,276,1838,5033,7058.6
3625,ANDHRA PRADESH,ADILABAD,2006,99,88,14,64,0,64,96,71,25,10,0,17,228,390,64,326,102,19,194,5,34,1447,22,185,107,423,0,313,2265,6122,8300.56
4365,ANDHRA PRADESH,ADILABAD,2007,112,61,12,46,0,46,83,72,11,4,0,9,211,481,80,401,95,15,179,2,17,1244,21,156,133,335,0,309,2160,5685,9860.16
5108,ANDHRA PRADESH,ADILABAD,2008,73,82,14,50,0,50,41,26,15,3,0,20,248,427,56,371,100,17,135,1,45,1289,5,174,103,355,0,336,1782,5300,12342.93
5869,ANDHRA PRADESH,ADILABAD,2009,85,39,11,67,0,67,73,56,17,6,0,20,200,351,82,269,101,11,161,7,35,1254,13,192,163,428,0,333,1762,5312,13291.0
6636,ANDHRA PRADESH,ADILABAD,2010,98,90,9,48,0,48,55,48,7,5,0,15,196,302,85,217,65,36,162,1,26,1044,18,133,155,429,0,342,1726,4955,16508.0
7415,ANDHRA PRADESH,ADILABAD,2011,109,94,8,84,0,84,77,70,7,5,0,8,230,346,96,250,85,24,175,3,33,1897,20,112,142,429,0,359,881,5121,17330.0
8206,ANDHRA PRADESH,ADILABAD,2012,81,80,14,88,0,88,82,61,21,2,0,14,240,373,104,269,56,25,216,3,35,2172,7,90,155,498,0,400,1079,5710,19641.0
2164,ANDHRA PRADESH,ANANTAPUR,2004,152,79,5,20,0,20,51,31,20,8,0,35,208,442,199,243,143,24,119,2,51,1142,11,196,50,147,0,299,1112,4296,9286.21
2893,ANDHRA PRADESH,ANANTAPUR,2005,172,125,3,16,0,16,60,30,30,17,0,21,178,439,203,236,102,15,96,7,59,1007,12,173,57,137,0,349,1500,4545,10047.71
3626,ANDHRA PRADESH,ANANTAPUR,2006,184,116,0,16,0,16,67,32,35,13,0,28,223,516,258,258,176,8,86,18,41,1132,16,187,11,189,0,396,1667,5090,11252.83
4366,ANDHRA PRADESH,ANANTAPUR,2007,149,85,3,31,0,31,87,35,52,10,0,20,203,603,76,527,85,13,125,17,8,1073,14,176,194,0,0,398,1888,5182,15937.45
