State/Union Territory,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Andaman and Nicobar Islands,356000.0,358500.0,361000.0,363500.0,366000.0,368500.0,371000.0,373500.0,376000.0,378500.0,381000.0
Andhra Pradesh,76210000.0,77047100.0,77884200.0,78721300.0,79558400.0,80395500.0,81232600.0,82069700.0,82906800.0,83743900.0,84581000.0
Arunachal Pradesh,1098000.0,1126600.0,1155200.0,1183800.0,1212400.0,1241000.0,1269600.0,1298200.0,1326800.0,1355400.0,1384000.0
Assam,26656000.0,27111000.0,27566000.0,28021000.0,28476000.0,28931000.0,29386000.0,29841000.0,30296000.0,30751000.0,31206000.0
Bihar,82999000.0,85109000.0,87219000.0,89329000.0,91439000.0,93549000.0,95659000.0,97769000.0,99879000.0,101989000.0,104099000.0
Chandigarh,901000.0,916400.0,931800.0,947200.0,962600.0,978000.0,993400.0,1008800.0,1024200.0,1039600.0,1055000.0
Chhattisgarh,20834000.0,21305100.0,21776200.0,22247300.0,22718400.0,23189500.0,23660600.0,24131700.0,24602800.0,25073900.0,25545000.0
Delhi,13851000.0,14144700.0,14438400.0,14732100.0,15025800.0,15319500.0,15613200.0,15906900.0,16200600.0,16494300.0,16788000.0
Goa,1348000.0,1359100.0,1370200.0,1381300.0,1392400.0,1403500.0,1414600.0,1425700.0,1436800.0,1447900.0,1459000.0
Gujarat,50671000.0,51647900.0,52624800.0,53601700.0,54578600.0,55555500.0,56532400.0,57509300.0,58486200.0,59463100.0,60440000.0
Haryana,21145000.0,21565600.0,21986200.0,22406800.0,22827400.0,23248000.0,23668600.0,24089200.0,24509800.0,24930400.0,25351000.0
Himachal Pradesh,6078000.0,6156700.0,6235400.0,6314100.0,6392800.0,6471500.0,6550200.0,6628900.0,6707600.0,6786300.0,6865000.0
Jammu and Kashmir,10144000.0,10383700.0,10623400.0,10863100.0,11102800.0,11342500.0,11582200.0,11821900.0,12061600.0,12301300.0,12541000.0
Jharkhand,26946000.0,27550200.0,28154400.0,28758600.0,29362800.0,29967000.0,30571200.0,31175400.0,31779600.0,32383800.0,32988000.0
Karnataka,52851000.0,53675400.0,54499800.0,55324200.0,56148600.0,56973000.0,57797400.0,58621800.0,59446200.0,60270600.0,61095000.0
Kerala,31841000.0,31997500.0,32154000.0,32310500.0,32467000.0,32623500.0,32780000.0,32936500.0,33093000.0,33249500.0,33406000.0
Madhya Pradesh,60348000.0,61575900.0,62803800.0,64031700.0,65259600.0,66487500.0,67715400.0,68943300.0,70171200.0,71399100.0,72627000.0
Maharashtra,96879000.0,98428500.0,99978000.0,101527500.0,103077000.0,104626500.0,106176000.0,107725500.0,109275000.0,110824500.0,112374000.0
Manipur,2294000.0,2350200.0,2406400.0,2462600.0,2518800.0,2575000.0,2631200.0,2687400.0,2743600.0,2799800.0,2856000.0
Meghalaya,2319000.0,2383800.0,2448600.0,2513400.0,2578200.0,2643000.0,2707800.0,2772600.0,2837400.0,2902200.0,2967000.0
Mizoram,889000.0,909800.0,930600.0,951400.0,972200.0,993000.0,1013800.0,1034600.0,1055400.0,1076200.0,1097000.0
Nagaland,1990000.0,1988900.0,1987800.0,1986700.0,1985600.0,1984500.0,1983400.0,1982300.0,1981200.0,1980100.0,1979000.0
Odisha,36805000.0,37321900.0,37838800.0,38355700.0,38872600.0,39389500.0,39906400.0,40423300.0,40940200.0,41457100.0,41974000.0
Puducherry,974000.0,1001400.0,1028800.0,1056200.0,1083600.0,1111000.0,1138400.0,1165800.0,1193200.0,1220600.0,1248000.0
Punjab,24359000.0,24697400.0,25035800.0,25374200.0,25712600.0,26051000.0,26389400.0,26727800.0,27066200.0,27404600.0,27743000.0
Rajasthan,56507000.0,57711100.0,58915200.0,60119300.0,61323400.0,62527500.0,63731600.0,64935700.0,66139800.0,67343900.0,68548000.0
Sikkim,541000.0,548000.0,555000.0,562000.0,569000.0,576000.0,583000.0,590000.0,597000.0,604000.0,611000.0
Tamil Nadu,62406000.0,63380100.0,64354200.0,65328300.0,66302400.0,67276500.0,68250600.0,69224700.0,70198800.0,71172900.0,72147000.0
Tripura,3199000.0,3246500.0,3294000.0,3341500.0,3389000.0,3436500.0,3484000.0,3531500.0,3579000.0,3626500.0,3674000.0
Uttar Pradesh,166198000.0,169559400.0,172920800.0,176282200.0,179643600.0,183005000.0,186366400.0,189727800.0,193089200.0,196450600.0,199812000.0
Uttarakhand,8489000.0,8648700.0,8808400.0,8968100.0,9127800.0,9287500.0,9447200.0,9606900.0,9766600.0,9926300.0,10086000.0
West Bengal,80176000.0,81286000.0,82396000.0,83506000.0,84616000.0,85726000.0,86836000.0,87946000.0,89056000.0,90166000.0,91276000.0
