MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita,STATE/UT,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Illiterate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Below Class X,14,0,14,8,0,8,0,0,0,0,0,0,22,0,22,6.179775280898876e-05
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Class X and above but below graduate,153,2,155,112,1,113,0,0,0,0,0,0,265,3,268,0.0007528089887640449
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Graduate,43,0,43,39,0,39,0,0,0,0,0,0,82,0,82,0.0002303370786516854
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Post-Graduate,4,1,5,6,0,6,0,0,0,0,0,0,10,1,11,3.089887640449438e-05
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813,Andaman and Nicobar Islands,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Illiterate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Below Class X,18,1,19,30,4,34,0,0,0,0,0,0,48,5,53,0.00014783821478382147
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Class X and above but below graduate,73,2,75,125,0,125,0,0,0,0,0,0,198,2,200,0.0005578800557880056
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797,Andaman and Nicobar Islands,Educational Standard - Graduate,38,0,38,32,0,32,0,0,0,0,0,0,70,0,70,0.00019525801952580195
