MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.00017977528089887642,0.00018258426966292135,1.1235955056179776e-05,0.00017134831460674158,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573034,0.0,5.337078651685393e-05,2.808988764044944e-06,2.5280898876404494e-05,0.0,0.0,0.0009073033707865169,0.001848314606741573,Andaman and Nicobar Islands,2001
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.5788005578800554e-06,5.5788005578800554e-06,0.0,0.0,0.0,1.1157601115760111e-05,0.00017852161785216177,0.00018131101813110182,1.1157601115760111e-05,0.0001701534170153417,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520222e-05,5.5788005578800554e-06,1.1157601115760111e-05,0.0003291492329149233,0.0,5.299860529986053e-05,2.7894002789400277e-06,2.510460251046025e-05,0.0,0.0,0.000900976290097629,0.0018354253835425383,Andaman and Nicobar Islands,2002
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.1080332409972299e-05,0.00017728531855955678,0.00018005540166204985,1.1080332409972299e-05,0.00016897506925207757,3.601108033240997e-05,2.7700831024930747e-05,2.2160664819944597e-05,5.540166204986149e-06,1.1080332409972299e-05,0.0003268698060941828,0.0,5.2631578947368424e-05,2.7700831024930747e-06,2.4930747922437674e-05,0.0,0.0,0.0008947368421052632,0.0018227146814404432,Andaman and Nicobar Islands,2003
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.00017606602475928474,0.00017881705639614855,1.1004126547455296e-05,0.00016781292984869325,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910593e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499312,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.4759284731774414e-05,0.0,0.0,0.0008885832187070151,0.0018101788170563962,Andaman and Nicobar Islands,2004
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.00017486338797814208,0.00017759562841530055,1.092896174863388e-05,0.00016666666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.00032240437158469946,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021858,0.0017978142076502733,Andaman and Nicobar Islands,2005
3.5278154681139754e-05,0.0,0.0,8.14111261872456e-06,0.0,8.14111261872456e-06,5.4274084124830395e-06,5.4274084124830395e-06,0.0,0.0,0.0,1.0854816824966079e-05,0.00017367706919945726,0.0001763907734056988,1.0854816824966079e-05,0.0001655359565807327,3.5278154681139754e-05,2.7137042062415198e-05,2.1709633649932158e-05,5.4274084124830395e-06,1.0854816824966079e-05,0.0003202170963364993,0.0,5.156037991858887e-05,2.7137042062415198e-06,2.4423337856173678e-05,0.0,0.0,0.0008765264586160108,0.00178561736770692,Andaman and Nicobar Islands,2006
3.504043126684636e-05,0.0,0.0,8.086253369272237e-06,0.0,8.086253369272237e-06,5.390835579514825e-06,5.390835579514825e-06,0.0,0.0,0.0,1.078167115902965e-05,0.0001725067385444744,0.0001752021563342318,1.078167115902965e-05,0.00016442048517520215,3.504043126684636e-05,2.6954177897574123e-05,2.15633423180593e-05,5.390835579514825e-06,1.078167115902965e-05,0.0003180592991913747,0.0,5.121293800539083e-05,2.6954177897574123e-06,2.4258760107816713e-05,0.0,0.0,0.0008706199460916443,0.0017735849056603773,Andaman and Nicobar Islands,2007
3.4805890227576974e-05,0.0,0.0,8.032128514056226e-06,0.0,8.032128514056226e-06,5.35475234270415e-06,5.35475234270415e-06,0.0,0.0,0.0,1.07095046854083e-05,0.0001713520749665328,0.00017402945113788489,1.07095046854083e-05,0.00016331994645247657,3.4805890227576974e-05,2.677376171352075e-05,2.14190093708166e-05,5.35475234270415e-06,1.07095046854083e-05,0.00031593038821954486,0.0,5.0870147255689426e-05,2.677376171352075e-06,2.4096385542168674e-05,0.0,0.0,0.0008647925033467202,0.0017617135207496654,Andaman and Nicobar Islands,2008
3.4574468085106386e-05,0.0,0.0,7.978723404255319e-06,0.0,7.978723404255319e-06,5.319148936170213e-06,5.319148936170213e-06,0.0,0.0,0.0,1.0638297872340426e-05,0.00017021276595744682,0.00017287234042553192,1.0638297872340426e-05,0.0001622340425531915,3.4574468085106386e-05,2.6595744680851064e-05,2.1276595744680852e-05,5.319148936170213e-06,1.0638297872340426e-05,0.00031382978723404256,0.0,5.053191489361702e-05,2.6595744680851065e-06,2.3936170212765956e-05,0.0,0.0,0.0008590425531914893,0.00175,Andaman and Nicobar Islands,2009
3.434610303830911e-05,0.0,0.0,7.926023778071334e-06,0.0,7.926023778071334e-06,5.284015852047556e-06,5.284015852047556e-06,0.0,0.0,0.0,1.0568031704095112e-05,0.0001690885072655218,0.00017173051519154558,1.0568031704095112e-05,0.00016116248348745047,3.434610303830911e-05,2.6420079260237782e-05,2.1136063408190223e-05,5.284015852047556e-06,1.0568031704095112e-05,0.0003117569352708058,0.0,5.019815059445178e-05,2.642007926023778e-06,2.3778071334214003e-05,0.0,0.0,0.0008533685601056803,0.001738441215323646,Andaman and Nicobar Islands,2010
