STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
Andaman and Nicobar Islands,2001,Educational Standard - Illiterate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2001,Educational Standard - Below Class X,14,0,14,8,0,8,0,0,0,0,0,0,22,0,22,6.179775280898876e-05
Andaman and Nicobar Islands,2001,Educational Standard - Class X and above but below graduate,153,2,155,112,1,113,0,0,0,0,0,0,265,3,268,0.0007528089887640449
Andaman and Nicobar Islands,2001,Educational Standard - Graduate,43,0,43,39,0,39,0,0,0,0,0,0,82,0,82,0.0002303370786516854
Andaman and Nicobar Islands,2001,Educational Standard - Post-Graduate,4,1,5,6,0,6,0,0,0,0,0,0,10,1,11,3.089887640449438e-05
Andaman and Nicobar Islands,2001,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2002,Educational Standard - Illiterate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2002,Educational Standard - Below Class X,18,1,19,30,4,34,0,0,0,0,0,0,48,5,53,0.00014783821478382147
Andaman and Nicobar Islands,2002,Educational Standard - Class X and above but below graduate,73,2,75,125,0,125,0,0,0,0,0,0,198,2,200,0.0005578800557880056
Andaman and Nicobar Islands,2002,Educational Standard - Graduate,38,0,38,32,0,32,0,0,0,0,0,0,70,0,70,0.00019525801952580195
Andaman and Nicobar Islands,2002,Educational Standard - Post-Graduate,4,1,5,3,0,3,0,0,0,0,0,0,7,1,8,2.2315202231520222e-05
Andaman and Nicobar Islands,2002,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2003,Educational Standard - Illiterate,3,0,3,23,0,23,0,0,0,0,0,0,26,0,26,7.202216066481994e-05
Andaman and Nicobar Islands,2003,Educational Standard - Below Class X,75,1,76,178,1,179,0,0,0,0,0,0,253,2,255,0.0007063711911357341
Andaman and Nicobar Islands,2003,Educational Standard - Class X and above but below graduate,10,0,10,2,0,2,0,0,0,0,0,0,12,0,12,3.3240997229916896e-05
Andaman and Nicobar Islands,2003,Educational Standard - Graduate,2,1,3,0,0,0,0,0,0,0,0,0,2,1,3,8.310249307479224e-06
Andaman and Nicobar Islands,2003,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2003,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2004,Educational Standard - Illiterate,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,1.375515818431912e-05
Andaman and Nicobar Islands,2004,Educational Standard - Below Class X,48,1,49,142,1,143,0,0,0,0,0,0,190,2,192,0.0005281980742778542
Andaman and Nicobar Islands,2004,Educational Standard - Class X and above but below graduate,5,0,5,16,0,16,0,0,0,0,0,0,21,0,21,5.7771664374140303e-05
Andaman and Nicobar Islands,2004,Educational Standard - Graduate,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,8.253094910591471e-06
Andaman and Nicobar Islands,2004,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2004,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2005,Educational Standard - Illiterate,4,0,4,7,1,8,0,0,0,0,0,0,11,1,12,3.278688524590164e-05
Andaman and Nicobar Islands,2005,Educational Standard - Below Class X,46,0,46,137,2,139,0,0,0,0,0,0,183,2,185,0.000505464480874317
Andaman and Nicobar Islands,2005,Educational Standard - Class X and above but below graduate,14,0,14,10,0,10,0,0,0,0,0,0,24,0,24,6.557377049180328e-05
Andaman and Nicobar Islands,2005,Educational Standard - Graduate,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,8.19672131147541e-06
Andaman and Nicobar Islands,2005,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2005,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2006,Educational Standard - Illiterate,4,0,4,7,1,8,0,0,0,0,0,0,11,1,12,3.256445047489824e-05
Andaman and Nicobar Islands,2006,Educational Standard - Below Class X,61,0,61,246,0,246,0,0,0,0,0,0,307,0,307,0.0008331071913161466
Andaman and Nicobar Islands,2006,Educational Standard - Class X and above but below graduate,14,0,14,10,0,10,0,0,0,0,0,0,24,0,24,6.512890094979647e-05
Andaman and Nicobar Islands,2006,Educational Standard - Graduate,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,8.14111261872456e-06
Andaman and Nicobar Islands,2006,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2006,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2007,Educational Standard - Illiterate,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3,8.086253369272237e-06
Andaman and Nicobar Islands,2007,Educational Standard - Below Class X,82,0,82,314,1,315,0,0,0,0,0,0,396,1,397,0.0010700808625336926
Andaman and Nicobar Islands,2007,Educational Standard - Class X and above but below graduate,3,1,4,7,0,7,0,0,0,0,0,0,10,1,11,2.9649595687331537e-05
Andaman and Nicobar Islands,2007,Educational Standard - Graduate,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,5.390835579514825e-06
Andaman and Nicobar Islands,2007,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2007,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2008,Educational Standard - Illiterate,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,5.35475234270415e-06
Andaman and Nicobar Islands,2008,Educational Standard - Below Class X,64,0,64,137,0,137,0,0,0,0,0,0,201,0,201,0.0005381526104417671
Andaman and Nicobar Islands,2008,Educational Standard - Class X and above but below graduate,3,0,3,12,0,12,0,0,0,0,0,0,15,0,15,4.0160642570281125e-05
Andaman and Nicobar Islands,2008,Educational Standard - Graduate,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3,8.032128514056226e-06
Andaman and Nicobar Islands,2008,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2008,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2009,Educational Standard - Illiterate,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,7.978723404255319e-06
Andaman and Nicobar Islands,2009,Educational Standard - Below Class X,43,0,43,153,0,153,0,0,0,0,0,0,196,0,196,0.0005212765957446809
Andaman and Nicobar Islands,2009,Educational Standard - Class X and above but below graduate,4,0,4,22,0,22,0,0,0,0,0,0,26,0,26,6.914893617021277e-05
Andaman and Nicobar Islands,2009,Educational Standard - Graduate,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3,7.978723404255319e-06
Andaman and Nicobar Islands,2009,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2009,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andaman and Nicobar Islands,2010,Educational Standard - Illiterate,4,0,4,7,0,7,0,0,0,0,0,0,11,0,11,2.9062087186261558e-05
Andaman and Nicobar Islands,2010,Educational Standard - Below Class X,62,0,62,504,2,506,0,0,0,0,0,0,566,2,568,0.0015006605019815059
Andaman and Nicobar Islands,2010,Educational Standard - Class X and above but below graduate,49,0,49,29,0,29,0,0,0,0,0,0,78,0,78,0.00020607661822985468
Andaman and Nicobar Islands,2010,Educational Standard - Graduate,5,0,5,2,0,2,0,0,0,0,0,0,7,0,7,1.8494055482166448e-05
Andaman and Nicobar Islands,2010,Educational Standard - Post-Graduate,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,7.926023778071334e-06
Andaman and Nicobar Islands,2010,Educational Standard - Holding technical degree/diploma etc,9,0,9,12,0,12,0,0,0,0,0,0,21,0,21,5.548216644649934e-05
Andaman and Nicobar Islands,2011,Educational Standard - Illiterate,35,0,35,70,0,70,0,0,0,0,0,0,105,0,105,0.00027559055118110237
Andaman and Nicobar Islands,2011,Educational Standard - Below Class X,213,0,213,490,2,492,0,0,0,0,0,0,703,2,705,0.0018503937007874015
Andaman and Nicobar Islands,2011,Educational Standard - Class X and above but below graduate,120,0,120,60,5,65,0,0,0,0,0,0,180,5,185,0.00048556430446194227
Andaman and Nicobar Islands,2011,Educational Standard - Graduate,35,0,35,55,0,55,0,0,0,0,0,0,90,0,90,0.00023622047244094488
Andaman and Nicobar Islands,2011,Educational Standard - Post-Graduate,7,0,7,13,0,13,0,0,0,0,0,0,20,0,20,5.2493438320209976e-05
Andaman and Nicobar Islands,2011,Educational Standard - Holding technical degree/diploma etc,5,0,5,9,0,9,0,0,0,0,0,0,14,0,14,3.674540682414698e-05
Andhra Pradesh,2001,Educational Standard - Illiterate,1441,82,1523,3794,361,4155,1,1,2,8,0,8,5244,444,5688,7.463587455714473e-05
Andhra Pradesh,2001,Educational Standard - Below Class X,1729,20,1749,2833,89,2922,0,0,0,10,0,10,4572,109,4681,6.142238551371211e-05
Andhra Pradesh,2001,Educational Standard - Class X and above but below graduate,532,0,532,1260,26,1286,2,0,2,2,0,2,1796,26,1822,2.3907623671434195e-05
Andhra Pradesh,2001,Educational Standard - Graduate,299,0,299,272,3,275,0,0,0,2,0,2,573,3,576,7.558063246293137e-06
Andhra Pradesh,2001,Educational Standard - Post-Graduate,72,0,72,37,1,38,0,0,0,0,0,0,109,1,110,1.4433801338407033e-06
Andhra Pradesh,2001,Educational Standard - Holding technical degree/diploma etc,46,0,46,164,2,166,1,0,1,0,0,0,211,2,213,2.7949088046188163e-06
Andhra Pradesh,2002,Educational Standard - Illiterate,1931,93,2024,3649,464,4113,0,0,0,0,0,0,5580,557,6137,7.965257615147099e-05
Andhra Pradesh,2002,Educational Standard - Below Class X,1879,54,1933,2882,74,2956,0,0,0,0,0,0,4761,128,4889,6.345469200008826e-05
Andhra Pradesh,2002,Educational Standard - Class X and above but below graduate,647,4,651,1150,16,1166,2,0,2,0,0,0,1799,20,1819,2.3608935313593894e-05
Andhra Pradesh,2002,Educational Standard - Graduate,189,0,189,181,2,183,0,0,0,0,0,0,370,2,372,4.82821546820062e-06
Andhra Pradesh,2002,Educational Standard - Post-Graduate,21,0,21,35,0,35,0,0,0,0,0,0,56,0,56,7.268281349979428e-07
Andhra Pradesh,2002,Educational Standard - Holding technical degree/diploma etc,54,0,54,95,1,96,0,0,0,0,0,0,149,1,150,1.946861075887347e-06
Andhra Pradesh,2003,Educational Standard - Illiterate,1653,91,1744,3242,365,3607,7,0,7,0,0,0,4902,456,5358,6.879444097775929e-05
Andhra Pradesh,2003,Educational Standard - Below Class X,2317,69,2386,3507,133,3640,6,0,6,0,0,0,5830,202,6032,7.744831429224412e-05
Andhra Pradesh,2003,Educational Standard - Class X and above but below graduate,736,10,746,1178,37,1215,3,0,3,0,0,0,1917,47,1964,2.5216924613721396e-05
Andhra Pradesh,2003,Educational Standard - Graduate,210,1,211,303,6,309,2,0,2,0,0,0,515,7,522,6.702257967598049e-06
Andhra Pradesh,2003,Educational Standard - Post-Graduate,32,1,33,66,0,66,0,0,0,0,0,0,98,1,99,1.2711178904065266e-06
Andhra Pradesh,2003,Educational Standard - Holding technical degree/diploma etc,27,0,27,82,0,82,0,0,0,0,0,0,109,0,109,1.3995136369122363e-06
Andhra Pradesh,2004,Educational Standard - Illiterate,1616,143,1759,3546,404,3950,10,9,19,0,0,0,5172,556,5728,7.276302601710084e-05
Andhra Pradesh,2004,Educational Standard - Below Class X,2084,50,2134,3463,145,3608,9,0,9,0,0,0,5556,195,5751,7.305519598888738e-05
Andhra Pradesh,2004,Educational Standard - Class X and above but below graduate,645,1,646,1089,23,1112,8,0,8,0,0,0,1742,24,1766,2.243357261630588e-05
Andhra Pradesh,2004,Educational Standard - Graduate,162,3,165,301,7,308,2,0,2,0,0,0,465,10,475,6.033945069504696e-06
