State/union territory,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Andaman and Nicobar Islands,0.0030393258426966293,0.0034253835425383542,0.0038559556786703602,0.004987620357634113,0.005584699453551912,0.006887381275440977,0.008059299191374663,0.00931726907630522,0.010957446808510638,0.011479524438573316,0.010440944881889763
Andhra Pradesh,0.002056304946857368,0.0021687513222431475,0.002439737456377545,0.0028545387334812816,0.003217020452900008,0.003744425993992201,0.004490967911897441,0.005200031192998147,0.005751458263978347,0.006970800261272761,0.004485664629172036
Arunachal Pradesh,0.0019162112932604735,0.0018382744541097105,0.002049861495844875,0.002946443656022977,0.0030971626525899045,0.0033102336825141013,0.0037885948330182734,0.004380680942843938,0.005633102200783841,0.006649697506271211,0.00799349710982659
Assam,0.001437312424969988,0.0016010844306738963,0.0017160632663425959,0.0019056421969237357,0.0020854403708386007,0.0022360789464588157,0.0024187027836384675,0.0027168660567675348,0.0031679099551095856,0.0036645312347565935,0.004588059988463757
Bihar,0.0006946710201327727,0.0007633152780551998,0.0007587108313555533,0.0008707250724848593,0.0009021314756285611,0.0010768367379661995,0.0011883879195893747,0.0014552567787335454,0.00163120375654542,0.0020030493484591476,0.0023741246313605316
Chandigarh,0.00609322974472808,0.007041684853775644,0.007962009014810045,0.00897804054054054,0.01058071888634947,0.012552147239263803,0.01375981477753171,0.015200237906423473,0.017298379222808045,0.019254520969603693,0.01778957345971564
Chhattisgarh,0.0014178266295478545,0.0015251277863046876,0.0017818535832698082,0.0021513621877711003,0.0023496813155856047,0.0028838482934086546,0.003391925817603949,0.004018448762416241,0.004038727299331783,0.00476272139555474,0.006188060285770209
Delhi,0.004694751281495921,0.005045069884833189,0.005503933953900709,0.006809959204729808,0.007678393163758335,0.00885041940011097,0.010116247790331259,0.011916401058660079,0.013564497611199586,0.015323657263418273,0.020478794376935908
Goa,0.005264836795252225,0.00595982635567655,0.0067880601372062475,0.009203648736697314,0.01028942832519391,0.011772711079444246,0.0138307648805316,0.017825629515325805,0.02027143652561247,0.023209475792527107,0.029038382453735436
Gujarat,0.00243873221369225,0.0027403631125370053,0.0031939313783615328,0.0037941520511476316,0.0044841018274561825,0.0051064791064791065,0.005824712907996123,0.006397434849667793,0.007373739446228341,0.008770464372022313,0.010185407015221708
Haryana,0.0030978954835658547,0.0033631338798827764,0.003768818622590534,0.004275264651802131,0.004769925615707439,0.005537336545079146,0.0064049415681535875,0.007576922438271093,0.009122881459661034,0.010453943779482078,0.011736775669598833
Himachal Pradesh,0.0028213228035538006,0.0030706384913996134,0.0033231228148955963,0.00381321170079663,0.004243367538480791,0.004678049911148884,0.005185032518091051,0.006257901009217215,0.007184238773928081,0.008465879787218366,0.010592862345229425
Jammu and Kashmir,0.0017782925867507887,0.0019574910677311558,0.002089161661991453,0.0025135550625512053,0.002694815722160176,0.002929689221952832,0.0032031047642071455,0.003579373873911977,0.0040114910128009554,0.004720883158690545,0.006240012758153258
