MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita
3.651685393258427e-05,0.0,0.0,8.42696629213483e-06,0.0,8.42696629213483e-06,5.617977528089888e-06,5.617977528089888e-06,0.0,0.0,0.0,1.1235955056179776e-05,0.0001797752808988,0.0001825842696629,1.1235955056179776e-05,0.0001713483146067,3.651685393258427e-05,2.808988764044944e-05,2.2471910112359552e-05,5.617977528089888e-06,1.1235955056179776e-05,0.0003314606741573,0.0,5.337078651685393e-05,2.808988764044944e-06,2.528089887640449e-05,0.0,0.0,0.0009073033707865,0.0018483146067415,Andaman and Nicobar Islands,2001,0.0030393258426966,81.3,0.813
3.626220362622036e-05,0.0,0.0,8.368200836820084e-06,0.0,8.368200836820084e-06,5.578800557880056e-06,5.578800557880056e-06,0.0,0.0,0.0,1.1157601115760113e-05,0.0001785216178521,0.0001813110181311,1.1157601115760113e-05,0.0001701534170153,3.626220362622036e-05,2.789400278940028e-05,2.2315202231520225e-05,5.578800557880056e-06,1.1157601115760113e-05,0.0003291492329149,0.0,5.299860529986053e-05,2.789400278940028e-06,2.510460251046025e-05,0.0,0.0,0.0009009762900976,0.0018354253835425,Andaman and Nicobar Islands,2002,0.0034253835425383,81.797,0.81797
3.601108033240997e-05,0.0,0.0,8.310249307479224e-06,0.0,8.310249307479224e-06,5.540166204986149e-06,5.540166204986149e-06,0.0,0.0,0.0,1.10803324099723e-05,0.0001772853185595,0.000180055401662,1.10803324099723e-05,0.000168975069252,3.601108033240997e-05,2.7700831024930747e-05,2.21606648199446e-05,5.540166204986149e-06,1.10803324099723e-05,0.0003268698060941,0.0,5.263157894736842e-05,2.7700831024930747e-06,2.4930747922437677e-05,0.0,0.0,0.0008947368421052,0.0018227146814404,Andaman and Nicobar Islands,2003,0.0038559556786703,82.294,0.8229400000000001
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998
3.5278154681139754e-05,0.0,0.0,8.14111261872456e-06,0.0,8.14111261872456e-06,5.42740841248304e-06,5.42740841248304e-06,0.0,0.0,0.0,1.085481682496608e-05,0.0001736770691994,0.0001763907734056,1.085481682496608e-05,0.0001655359565807,3.5278154681139754e-05,2.71370420624152e-05,2.170963364993216e-05,5.42740841248304e-06,1.085481682496608e-05,0.0003202170963364,0.0,5.156037991858887e-05,2.71370420624152e-06,2.442333785617368e-05,0.0,0.0,0.000876526458616,0.0017856173677069,Andaman and Nicobar Islands,2006,0.0068873812754409,83.785,0.83785
3.504043126684636e-05,0.0,0.0,8.086253369272237e-06,0.0,8.086253369272237e-06,5.390835579514825e-06,5.390835579514825e-06,0.0,0.0,0.0,1.078167115902965e-05,0.0001725067385444,0.0001752021563342,1.078167115902965e-05,0.0001644204851752,3.504043126684636e-05,2.6954177897574123e-05,2.15633423180593e-05,5.390835579514825e-06,1.078167115902965e-05,0.0003180592991913,0.0,5.121293800539083e-05,2.6954177897574123e-06,2.4258760107816716e-05,0.0,0.0,0.0008706199460916,0.0017735849056603,Andaman and Nicobar Islands,2007,0.0080592991913746,84.282,0.8428200000000001
3.4805890227576974e-05,0.0,0.0,8.032128514056226e-06,0.0,8.032128514056226e-06,5.35475234270415e-06,5.35475234270415e-06,0.0,0.0,0.0,1.07095046854083e-05,0.0001713520749665,0.0001740294511378,1.07095046854083e-05,0.0001633199464524,3.4805890227576974e-05,2.677376171352075e-05,2.14190093708166e-05,5.35475234270415e-06,1.07095046854083e-05,0.0003159303882195,0.0,5.087014725568943e-05,2.677376171352075e-06,2.4096385542168677e-05,0.0,0.0,0.0008647925033467,0.0017617135207496,Andaman and Nicobar Islands,2008,0.0093172690763052,84.779,0.84779
3.4574468085106386e-05,0.0,0.0,7.978723404255319e-06,0.0,7.978723404255319e-06,5.319148936170213e-06,5.319148936170213e-06,0.0,0.0,0.0,1.0638297872340426e-05,0.0001702127659574,0.0001728723404255,1.0638297872340426e-05,0.0001622340425531,3.4574468085106386e-05,2.6595744680851064e-05,2.127659574468085e-05,5.319148936170213e-06,1.0638297872340426e-05,0.000313829787234,0.0,5.053191489361702e-05,2.6595744680851065e-06,2.393617021276596e-05,0.0,0.0,0.0008590425531914,0.00175,Andaman and Nicobar Islands,2009,0.0109574468085106,85.276,0.8527600000000001
3.434610303830911e-05,0.0,0.0,7.926023778071334e-06,0.0,7.926023778071334e-06,5.284015852047556e-06,5.284015852047556e-06,0.0,0.0,0.0,1.0568031704095112e-05,0.0001690885072655,0.0001717305151915,1.0568031704095112e-05,0.0001611624834874,3.434610303830911e-05,2.6420079260237785e-05,2.1136063408190223e-05,5.284015852047556e-06,1.0568031704095112e-05,0.0003117569352708,0.0,5.019815059445178e-05,2.642007926023778e-06,2.3778071334214003e-05,0.0,0.0,0.0008533685601056,0.0017384412153236,Andaman and Nicobar Islands,2010,0.0114795244385733,85.773,0.85773
